,de,en-GB,en,es,es-MX,fr-CA,fr,it,ja,ko,nl,ru,zh-Hans,zh-Hant
Carousel_OfficialTournamentFinal,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦,Splatoon甲子園決勝戦
Carousel_PhotoAlbum,Album,Photo Album,Photo Album,Álbum de fotos,Álbum de fotos,Album photo,Album photo,Album,フォトアルバム,포토 앨범,Fotoalbum,Альбом,相册,相簿
Carousel_Robichi,Wer hilft Shrimpson?,Supporters Wanted!,Supporters Wanted!,¡Se buscan ayudantes!,¡Se buscan ayudantes!,On cherche des supporteurs!,On cherche des supporters !,Si cercano sostenitori!,支援者求む！,서포터 구함!,Supporters gezocht!,Нужны помощники!,寻求支援者！,誠徵支持者！
Carousel_StatsLatestSeason,Saison-Übersicht anschauen,View Season History,View Season History,¡Recuerda aquí la última temporada!,Recuerda la última temporada,Voir l'historique de la saison.,Voir l'historique de la saison.,Vedi le statistiche della stagione.,前シーズンのヒストリーはこちら！,이전 시즌 히스토리 확인하기,Seizoensverloop bekijken,Смотреть журнал сезона.,之前赛季的历史在这里！,前賽季的記錄在這裡！
Carousel_TeamContestOpening,Team-Wettkämpfer gesucht!,Sign Up for Some Eggstra Work!,Sign Up for Some Eggstra Work!,¡Participa en alianza alevínica!,¡Participa en la recolección extra!,Viens faire des œufs sup'!,Viens faire des œufs sup' !,Partecipa a qualche sfida tra colleghi!,バイトチームコンテストに参加しよう！,아르바이트 팀 콘테스트에 참가하자!,Meld je aan voor een bedrijfseitje!,Нужны работники для икорного овертайма!,参加团队打工竞赛吧！,參加團隊打工競賽吧！
Carousel_TeamContestResult,Team-Wettkampf-Ergebnisse!,Eggstra Work Results!,Eggstra Work Results!,¡Hay resultados de alianza alevínica!,¡Resultados de la recolección extra!,Résultats du défi œuf sup'!,Résultats du défi œuf sup' !,Risultati sfida tra colleghi!,バイトチームコンテスト結果発表！,아르바이트 팀 콘테스트 결과 발표!,Bedrijfseitje-uitslag!,Итоги икорного овертайма,团队打工竞赛结果公布！,團隊打工競賽結果公布！
Carousel_VsHistory,Kämpfe,Battle Logs,Battle Logs,Registros de combates,Registros de combates,Journal de matchs,Journal de matchs,Battaglie,バトル戦績,배틀 전적,Gevechtsstatistieken,Протоколы боев,对战战绩,對戰戰績
Catalog_Byname,Titel,Title,Title,Alias,Apodo,Titre,Titre,Titolo,二つ名,별명,Titel,Титул,称号,別名
Catalog_CardPack,Kartenpäckchen,Pack of Cards,Pack of Cards,Paquete de cartas,Paquete de cartas,Jeu de cartes,Jeu de cartes,Bustina di carte,カードパック,카드 팩,Pakje kaarten,Колода карт,卡片包,卡包
Catalog_CardPackFresh,Spritziges Kartenpäckchen,Fresh Card Pack,Fresh Card Pack,Paquete de cartas exclusivo,Paquete de cartas exclusivo,Jeu de cartes cool,Jeu de cartes classe,Bustina mitica,フレッシュカードパック,프레시 카드 팩,Vers pakje kaarten,Свежая колода карт,新鲜卡片包,新鮮卡包
Catalog_CardSleeve,Kartenhüllen,Card Sleeves,Card Sleeves,Fundas para cartas,Fundas para cartas,Motifs de cartes,Motifs de cartes,Stili per le carte,カードスリーブ,카드 슬리브,Kaartenhoesjes,Кармашки для карт,卡片套,卡套
Catalog_Emote,Emote,Emote,Emote,Reacción,Pose,Animation,Émoticône,Posa,エモート,감정 표현,Reactie,Эмотикон,表情,表情
Catalog_Figure,Deko,Decoration,Decoration,Adorno,Adorno,Objet de décoration,Objet de décoration,Decorazione,オキモノ,장식품,Versiering,Украшение,装饰品,裝飾品
Catalog_NamePlateBg,Banner,Banner,Banner,Fondo,Fondo,Bannière,Bannière,Sfondo,プレート,플레이트,Achtergrond,Баннер,背景,背景
Catalog_Sticker,Aufkleber,Sticker,Sticker,Pegatina,Calcomanía,Autocollant,Autocollant,Adesivo,ステッカー,스티커,Sticker,Наклейка,贴纸,貼紙
Catalog_AppName,Katalog,Catalog,Catalog,Catálogo,Catálogo,Catalogue,Catalogue,Catalogo,カタログ,카탈로그,Catalogus,Каталог,目录,目錄
Catalog_Available,Eintauschbar,Exchangeable,Exchangeable,Intercambiable,Intercambiable,Échangeable,Échangeable,Ottenibile,引き換えできます,교환할 수 있습니다,Inwisselbaar,Можно обменять,可兑换,可兌換
Catalog_BigrunBonus,"Big Run läuft! Verdiene <em>1,2-mal</em> so viele Punkte!",Big Run Open Now! Earn <em>1.2x</em> Points!,Big Run Open Now! Earn <em>1.2x</em> Points!,¡Big Run en curso! ¡Obtén un <em>20 % extra</em> de puntos!,¡Big Run en curso! ¡Obtén un <em>20 % extra</em> de puntos!,"Big Run en cours! Remporte <em>1,2 x</em> plus de points!","Big Run en cours ! Remporte <em>1,2 x</em> plus de points !","Big Run in corso! Moltiplica i punti <em>×1,2</em>!",ビッグラン開催中！ポイント<em>1.2倍</em>！,빅 런 개최 중! 포인트 <em>1.2배</em>!,"Big Run aan de gang! Verdien <em>1,2×</em> zo veel punten!","Идет Big Run! Заработай <em>в 1,2 раза</em> больше очков!",大型跑正在举行！获得的点数<em>1.2倍</em>！,大型跑舉辦中！點數<em>1.2倍</em>！
Catalog_BonusDescription,"Steigere deine Katalogstufe,<br />um eine Überraschungsbox<br />zu erhalten!",Raise your catalog level<br />to get a Mystery Box!,Raise your catalog level<br />to get a Mystery Box!,¡Aumenta tu nivel de catálogo para<br />poder obtener una caja misteriosa!,¡Aumenta tu nivel de catálogo<br />para recibir una caja misteriosa!,Augmente ton niveau de catalogue<br />pour obtenir une boîte mystère!,Augmente ton niveau de catalogue<br />pour obtenir une boîte mystère !,Aumenta il livello del tuo catalogo<br />per ottenere un pacco misterioso!,カタログレベルを上げて<br />ミステリーボックスをゲット！,카탈로그 레벨을 올려서<br />미스터리 박스를 획득하자!,Verhoog je catalogusniveau<br />om een verrassingspakket<br />te krijgen!,"Повышай уровень каталога, чтобы<br />получить коробку с сюрпризом!",提升目录等级，<br />获得神秘礼盒吧！,提升目錄等級<br />獲得神秘禮盒吧！
Catalog_BonusGuide,Alle 10 Stufen kannst du eine neue Überraschungsbox erhalten!,You can get a new Mystery Box for every 10 levels you gain.,You can get a new Mystery Box for every 10 levels you gain.,Obtendrás una caja misteriosa por cada 10 niveles que subas.,Recibirás una caja misteriosa por cada 10 niveles que subas.,Tu peux obtenir une boîte mystère à chaque fois que tu gagnes 10 niveaux.,Tu peux obtenir une boîte mystère à chaque fois que tu gagnes 10 niveaux.,Otterrai un nuovo pacco misterioso ogni 10 livelli.,レベル10ごとにミステリーボックスをゲットできます,레벨 10마다 미스터리 박스를 획득할 수 있습니다,Je kunt een verrassingspakket krijgen voor elke 10 niveaus die je stijgt.,За каждые 10 уровней ты будешь получать новую коробку с сюрпризом.,等级每提升10皆可获得神秘礼盒。,等級每提升10皆可獲得神秘禮盒。
Catalog_BonusTitle,BONUS! Stufe 101,BONUS! Lv. 101,BONUS! Lv. 101,¡Bonificación por nivel 101!,¡Bonificación por nivel 101!,BONUS! Niv. 101,BONUS ! Niv. 101,BONUS! Liv. 101,ボーナス！,보너스! 레벨 101～,BONUS! Niveau 101,БОНУС! Ур. 101!,奖励！等级101~,獎勵！等級101～
Catalog_Complete,ABGESCHLOSSEN!,COMPLETE!,COMPLETE!,¡Completo!,¡Completo!,TERMINÉ!,TERMINÉ !,COMPLETATO!,コンプリート！,컴플리트!,VOLTOOID!,Выполнено!,COMPLETE!,COMPLETE！
Catalog_Current,/{ 1 },/{ 1 },/{ 1 }, / { 1 }, / { 1 }, / { 1 }, / { 1 },/{ 1 }, / { 1 }, / { 1 }, / { 1 },/{ 1 }, / { 1 }, / { 1 }
Catalog_CurrentExtraLevel,Stufe ,Lv. ,Lv. ,Nivel ,Nivel ,Niv. ,Niv. ,Liv. ,Lv. ,Lv.,Niveau ,Ур. ,Lv. ,Lv.
Catalog_CurrentPoint,Insgesamt  P,Total: p,Total: p,Total:  p,Total: p.,Total :  p.,Total :  p.,Totale: p,るいけい  p,누적 p,Totaal  p,Всего:  очк.,累计 p,累計 p
Catalog_DailyBonus,<em></em> Punkte für den ersten Sieg des Tages!,You earned <em></em> points for the day's first victory!,You earned <em></em> points for the day's first victory!,¡Has ganado <em></em> puntos por la primera victoria del día!,¡Ganaste <em></em> puntos por la primera victoria del día!,La première victoire du jour te rapporte <em></em> points!,La première victoire du jour te rapporte <em></em> points !,Hai ottenuto <em></em> punti per la prima vittoria della giornata!,本日初勝利でもれなく<em></em>ポイントゲット！,오늘 첫 승리 시 누구나 <em></em>포인트 획득!,Voor je eerste overwinning van vandaag heb je <em></em> punten verdiend!,За первую победу дня ты получаешь <em></em> очк.,今日首次获胜，可获得整整<em></em>点点数！,本日首次獲勝就能獲得總共<em></em>點！
Catalog_DrinkTicket,Getränke-Coupon,Drink Ticket,Drink Ticket,Cupón de bebida,Boleto de bebida,Bon breuvage,Ticket boisson,Coupon bevanda,ドリンクチケット,드링크 티켓,Drankcoupon,Талон на напиток,饮料券,飲料券
Catalog_EndOfSeason,"Die <em></em> ist fast vorbei, aber du kannst jetzt einen Endspurt-Bonus von <em>×1,2</em> Katalogpunkten erhalten!","<em></em> is almost over, but you can get a Closeout Bonus of <em>1.2x</em> Catalog Points now!","<em></em> is almost over, but you can get a Closeout Bonus of <em>1.2x</em> Catalog Points now!","¡<em></em> casi concluida! ¡Ocasión de obtener puntos de catálogo <em>×1,2</em>!",¡<em></em> casi concluida! ¡Pero todavía puedes obtener puntos de catálogo <em>x1.2</em>!,"<em></em> presque terminée! Un bonus de fin d'une valeur de <em>1,2×</em> tes points de catalogue est disponible!","<em></em> presque terminée ! Un bonus de fin d'une valeur de <em>1,2×</em> tes points de catalogue est disponible !","<em></em> quasi finita! Occasione di ottenere un bonus ultimo sforzo pari a <em>×1,2</em> punti catalogo!",もうすぐ <em></em> が終了します。カタログポイント<em>1.2倍</em>サービス中！,<em></em> 종료가 머지않았습니다. 카탈로그 포인트 <em>1.2배</em> 서비스 중!,"Het <em></em> is bijna voorbij, maar je kunt nu een eindspurtbonus van <em>×1,2</em> cataloguspunten verdienen!","<em></em> подходит к концу, но ты еще можешь получить финишный бонус: <em>x1,2</em> очк. каталога!",<em></em> 即将结束。现在可获得<em>1.2倍</em>的目录点数！,<em></em>即將結束，目錄點數<em>1.2倍</em>放送中！
Catalog_FesBonus,"Das Splatfest läuft! Verdiene <em>1,2-mal</em> so viele Punkte!",Splatfest Open Now! Earn <em>1.2x</em> Points!,Splatfest Open Now! Earn <em>1.2x</em> Points!,¡Festival en curso! ¡Obtén un <em>20 % extra</em> de puntos!,¡Festival en curso! ¡Obtén un <em>20 % extra</em> de puntos!,"Festival en cours! Remporte <em>1,2 x</em> plus de points!","Festival en cours ! Remporte <em>1,2 x</em> plus de points !","Festival in corso! Moltiplica i punti <em>×1,2</em>!",フェス開催中！ポイント<em>1.2倍</em>！,페스티벌 개최 중! 포인트 <em>1.2배</em>!,"Splatfest bezig! Verdien <em>1,2×</em> zo veel punten!","Идет Сплатфест! Заработай <em>в 1,2 раза</em> больше очков!",祭典举行中！获得的点数<em>1.2倍</em>！,祭典舉行中！點數<em>1.2倍</em>！
Catalog_FoodTicket,Snack-Coupon,Food Ticket,Food Ticket,Cupón de comida,Boleto de comida,Bon repas,Ticket en-cas,Coupon cibo,フードチケット,푸드 티켓,Voedselcoupon,Талон на закуску,餐券,美食券
Catalog_Got,Schon erhalten,Got it!,Got it!,Disponible,Lo tienes,En poche,En poche,Urrà!,ゲット！,획득!,Heb je al!,Ура!,获得！,獲得！
Catalog_Guide,<em>Erreiche Stufe 4 und hol dir im Hotlantis einen Katalog!</em>,<em>Reach level 4 to get a catalog from Hotlantis!</em>,<em>Reach level 4 to get a catalog from Hotlantis!</em>,<em>¡Progresa hasta el nivel 4 para obtener el catálogo de Miscelánea Abisal!</em>,<em>¡Alcanza el nivel 4 para obtener el catálogo de Miscelánea Abisal!</em>,<em>Atteins le niveau 4 et rends-toi à Coolypso pour obtenir un catalogue!</em>,<em>Atteins le niveau 4 et rends-toi à Coolypso pour obtenir un catalogue !</em>,<em>Raggiungi il livello 4 per ottenere un catalogo da Misto mare!</em>,<em>ランクを4まで上げてザッカ屋でカタログを受け取ろう！</em>,<em>레벨을 4까지 올려 잡화점에서 카탈로그를 받자!</em>,<em>Bereik niveau 4 om een catalogus te kunnen halen in Aqua Morgana!</em>,"<em>Чтобы получить каталог в «Хитлантиде», тебе нужен уровень 4!</em>",<em>达到等级4之后就去杂货店领取目录吧！</em>,<em>將等級提升到4之後就去雜貨店領取目錄吧！</em>
Catalog_ItemAmount,× ,x,x,×,x,x,x,×,x,x,×,x,x,x
Catalog_Level,Stufe,Level,Level,Nivel,Nivel,Niveau,Niveau,Livello,カタログレベル,카탈로그 레벨,Niveau,Уровень,目录等级,目錄等級
Catalog_Limit,Bis ,Until ,Until ,Hasta ,Hasta ,Jusqu'au ,Jusqu'au ,Fino a: , まで,까지,Tot ,До ,到为止,到為止
Catalog_MysteryBox,Überraschungsbox,Mystery Box,Mystery Box,Caja misteriosa,Caja misteriosa,Boîte mystère,Boîte mystère,Pacco misterioso,ミステリーボックス,미스터리 박스,Verrassingspakket,Коробка с сюрпризом,神秘礼盒,神秘禮盒
Catalog_NextBonus,Nächste,Next,Next,Próximo,Próximo,Suivant,Suivant,Prossimo,つぎ,다음,Volgende,Следующий,下一个,下一個
Catalog_Page,Seite ,Page ,Page ,Página ,Página ,Page ,Page ,Pagina ,ページ ,페이지 ,Pagina ,Стр. ,第页,頁
Catalog_Pager,Seite /{ 1 },Page /{ 1 },Page /{ 1 },Página  / { 1 },Página  / { 1 },Page  / { 1 },Page  / { 1 },Pagina /{ 1 }, / { 1 } ページ, / { 1 } 페이지,Pagina  / { 1 },Стр. /{ 1 },第 / { 1 }页,/{ 1 }頁
Catalog_Period, Jetzt geöffnet!, Open Now!, Open Now!, - { undefined } ¡En curso!, - { undefined } ¡En curso!, En cours!, En cours !, In corso!, 開催中！, 개최 중!, Nu bezig!, Идет!, 举行中！, 舉行中！
Catalog_Point,Punkte,Points,Points,Puntos,Puntos,Points,Points,Punti,カタログポイント,카탈로그 포인트,Punten,Очки,目录点数,目錄點數
Catalog_Signboard,Hotlantis,Hotlantis,Hotlantis,Miscelánea Abisal,Miscelánea Abisal,Coolypso,Coolypso,Misto mare,ザッカ屋,잡화점,Aqua Morgana,Хитлантида,杂货店,雜貨店
Catalog_Title,Katalog,Catalog,Catalog,Catálogo,Catálogo,Catalogue,Catalogue,Catalogo,カタログ,카탈로그,Catalogus,Каталог,目录,目錄
Catalog_Welcome,Druckfrischer Katalog!,New Catalog Hot off the Presses!,New Catalog Hot off the Presses!,¡Tenemos nuevo catálogo!,¡Tenemos nuevo catálogo!,Un nouveau catalogue est disponible!,Un nouveau catalogue est disponible !,Nuovo catalogo fresco di stampa!,イカしたカタログ 配布中！,어메이징한 카탈로그 배포 중!,"Nieuwe catalogus, vers van de pers!",Новое издание каталога!,正在发放超鱿型的目录！,超魷型目錄發布中！
Catalog_WelcomeDescription,Verdiene in Kämpfen Katalogpunkte<br />und schnapp dir tinttastische Preise!,Earn Catalog Points from battles<br />to get inkredible items!,Earn Catalog Points from battles<br />to get inkredible items!,¡Reúne puntos de catálogo en combate<br />para poder hacerte con fabulosos artículos!,¡Obtén puntos de catálogo en combate para<br />poder adquirir artículos tintabulosos!,Gagne des points de catalogue lors des matchs<br />pour obtenir des objets encroyables!,Gagne des points de catalogue lors des matchs<br />pour obtenir des objets encroyables !,Guadagna punti catalogo dalle<br />battaglie per ottenere oggetti mitilici!,バトルでカタログポイントを貯めて<br />アイテムをゲットしよう！,배틀에서 카탈로그 포인트를 모아<br />아이템을 획득하자!,Verdien cataloguspunten in gevechten<br />om spetterende voorwerpen te krijgen!,"Зарабатывай очки каталога в боях, чтобы<br />получить красочные предметы!",通过对战积攒目录点数<br />来获得道具吧！,透過對戰累積目錄點數<br />獲得道具吧！
Challenge_AboutGraffiti,"Wenn ich ein heißes Tag sehe, schicke ich es dir!","Whenever I spy a scorching-hot tag, I'll send it your way!","Whenever I spy a scorching-hot tag, I'll send it your way!",¡Te mandaré todos los grafitis molones que vaya encontrando por ahí!,¡Te mandaré todos los grafitis geniales que vaya encontrando por ahí!,"Si j'tombe sur un graffiti qui m'plaît, j'te l'envoie!","Si j'tombe sur un graffiti qui m'botte, j'te l'envoie !","Se vedo un tag di quelli incandescenti, te lo mando!",旅の途中でテンションバクアゲ～！なグラフィティ見つけたから送るね～,여행하다가 끝내주는 그라피티를 발견했으니까 선물할게～,"Als ik een vette tag zie, stuur ik hem naar jou!","Если увижу с пылу с жару новый бейдж, сразу тебе пришлю!",我在旅途中找到了“超酥脆～！”的涂鸦，发给你哦～,我在旅程的途中發現了超～酥脆的火熱塗鴉！傳給你看喔～
Challenge_AppName,Shrimpson-Tour,Wandercrust,Wandercrust,Ruta Adolfrito,Ruta Adolfrito,L'Odyssée,L'Odyssée,Il Gambertour,ロブイチ,롭케이션,Aardboltoer,Закрас-тур,游龙,遊龍
Challenge_Black,Schwarz,Black,Black,Negro,Negro,Noire,Noire,Nero,ブラック,블랙,Zwart,Черный,黑色,黑
Challenge_Blue,Blau,Blue,Blue,Azul,Azul,Bleue,Bleue,Blu,ブルー,블루,Blauw,Голубой,蓝色,藍
Challenge_Challenger,Herausforderer,Challenger,Challenger,Aspirante,Camarón errante,Compétiteur,Compétiteur,Sfidante,チャレンジャー,챌린저,Uitdager,Инициатор,挑战者,挑戰者
Challenge_ChooseChallenge,Wähle eine Herausforderung,Select a challenge.,Select a challenge.,Elige un desafío,Elige un desafío,Choisis un défi.,Choisis un défi.,Scegli una sfida,支援するチャレンジを選ぶ,서포트할 챌린지 선택하기,Kies een uitdaging.,Выбери испытание.,选择要支援的挑战,選擇要支持的挑戰
Challenge_Clear,Erreicht,Achieved,Achieved,Superado,Superado,Réussi,Réussi,Superata,達成しました,달성했습니다,Behaald,Получено,已完成,已達成
